   ,PURNO,RCVNO,CO,LNO,DIV,PURID,PURPRW,VNDNO,RCVDAT,MTNO,DLSTK,QLMK,OVDMK,ANS,GFDAT,OVDDYS,MTPAYDAT,CO,PURNO,ORDLNO,IT,DIV,ORDDAT,KINDAT,KINEMP,PURPRW,DLSTK,MKDYS,INQVND,ORDVND,PURID,MTNO,SPECID,ORDCAQQTY,CAQUN,ORDCPRQTY,CPRUN,CPRUP,CUCY,CIFUP,EXR,OCRYTAMT,CIFTAMT,ACRCVQTY,ACCPRRCVQTY,RCVDAT,ENDMK,DLABMK,RCVWRFDAT,DLHNTPRTMK,CNTRNO,CSTIDX,MLDTAXR,ISPMK,BRND,CIFCIFR,FRMID,RASHMK,SCDDAT,PAYENDMK,NCRDAT,AGRSUPPIVDDOC,PAYID,IVID,PAYTRM,ORGI,DRSUPPMK,DRSUPPDATNUM,ANNOUPSUPPMK,SIGNMK,OVSHPR,OVDPUNR,OVDPUNRUPL,CNTRPEMK,JBSAFMK,DLSITE,HLISID,BIDCLASSDATE,WWWMK,APKID,EMGPURMK,PLADDR,COTYPE,PURSTDNO,BGUP,BGCUCY
1,KW7NE6,W63506,LG,00,4,0,LG4,2802022805,0190103,CHEIN848,B4MD,,*,1,0190105,5,,LG,KW7NE6,00,01,4,0180906,0180906,VNW0000341,LG4,B4MD,3,,2802022805,0,CHEIN848,1001-S0323326,209225.000,KG,,,5538.00000,VND,,,1158688050.00,,209354.000,0.000,0190117,E,,0190119,,,,10,,NAOH 32%,,C3,,M,,,,,,,VN,,,,,,,,,,,,,E,52,,,,,3900.00000,VND
2,KW0XD0,W53439,LG,00, ,1, ,CCPEAAU,0190103,FUESO75,B211,*, ,1,0190105,,,LG,KW0XD0,00,01,2,0181005,0181005,N000000801,M13,B211,60,,CCPEAAU,1,FUESO75,1102-200811117280FHSI201,80000.000,MT,,,137.50000,USD,141.625,1.000000,11000000.00,11330000.00,78528.780,0.000,0190103,E,,0190104,,,,,,COPPABELLA 10 PCI,1.0300,C2,,0181214,,,,,,,AU,,,,,110.00,0.00,0.00,,,,,,,,,,,FHS-I2-01,,
3,KW0Q54,W63703,LG,B0,7,0,LG24,0105875143,0190104,WACIAG29,B771,,*,1,0190107,34,,LG,KW0Q54,B0,02,7,0180904,0180904,VNW0005270,LG24,B771,85,,0105875143,0,WACIAG29,1403-426B01641486510,30.000,BX,,,1165000.00000,VND,,,34950000.00,,30.000,0.000,0190104,E,,0190106,,,,10,,Hach,,C3,,0181201,,,,,,,US,,,,,,,,,,,,,E,,,,,HACH 1486510,,
4,KW0SS5,W63746,LG,00,7,0,LG24,2802022805,0190105,CHEIN679,B781,,*,1,0190108,75,,LG,KW0SS5,00,01,7,0180920,0180920,VNW0007257,LG24,B781,28,,2802022805,0,CHEIN679,1001-S0321A32530,5.000,CA,,,480000.00000,VND,,,2400000.00,,5.000,0.000,0190105,E,,0190108,,,,10,,MERCK,,C3,,0181022,,,,,,,DE,,,,,,,,,,,,,E,52,*,,,7840-NAOH,,
5,KW0QW5,W63747,LG,00,7,0,LG24,2802022805,0190105,CHEIN679,B771,,*,1,0190108,74,,LG,KW0QW5,00,01,7,0180821,0180821,VNW0007257,LG24,B771,60,,2802022805,0,CHEIN679,1001-S0321A32530,100.000,CA,,,448000.00000,VND,,,44800000.00,,100.000,0.000,0190115,E,,0190117,,,,10,,MERCK 1064691000,,C3,,0181023,,,,,,,DE,,,,,,,,,,,,,E,52,,,,SODIUM,,
6,KW9VR6,W63714,LG,00,4,0,LG20,0201275452,0190104,LUBLOY98,B415,,,0,0190109,,,LG,KW9VR6,00,01,4,0181227,0181227,VNW0006629,LG20,B415,90,,0201275452,0,LUBLOY98,1121-05222200220C,21.000,TK,,,11250000.00000,VND,,,236250000.00,,21.000,0.000,0190129,E,,0190131,,,,10,,Idemitsu,,C3,,0190330,,,,,,,JP,,,,,,,,,,,,,E,,,,,LUBLOY98,15000000.00000,VND
7,KWNHN7,W63504,LG,K0,4,6,LG3,2802022805,0190103,CHEINA58,B4MD,,,0,0190110,,,LG,KWNHN7,K0,01,4,0181205,0181225,PR09,LG3,B4MD,10,,2802022805,6,CHEINA58,1001-S0333016,40000.000,KG,,,3116.00000,VND,,,124640000.00,,40000.000,0.000,0190124,E,,0190126,,HQT4,,10,,Viet Nam,,,,0190131,,,,,A,,,,,,,,,,Y,,,,,E,52,,,,,3150.00000,VND
8,KW0UA4,W63912,LG,00,7,0,LG28,2802022805,0190108,CHEIN999,B771,,*,1,0190110,21,,LG,KW0UA4,00,01,7,0181016,0181016,VNW0007917,LG28,B771,60,,2802022805,0,CHEIN999,1001-F0071012530,15.000,CA,,,1870000.00000,VND,,,28050000.00,,15.000,0.000,0190108,E,,0190110,,,,10,,Merck,,C3,,0181218,,,,,,,DE,,,,,,,,,,,,,E,,,,,MOHR2,,
9,KW7NE6,W63507,LG,00,4,0,LG4,2802022805,0190103,CHEIN848,B4MD,,,0,0190110,,,LG,KW7NE6,00,01,4,0180906,0180906,VNW0000341,LG4,B4MD,3,,2802022805,0,CHEIN848,1001-S0323326,209225.000,KG,,,5538.00000,VND,,,1158688050.00,,209354.000,0.000,0190117,E,,0190119,,,,10,,NAOH 32%,,C3,,M,,,,,,,VN,,,,,,,,,,,,,E,52,,,,,3900.00000,VND
10,KWN3R6,W63939,LG,00,6,0,LG28,3600999484,0190108,PASPS330,B610,,*,1,0190110,1,,LG,KWN3R6,00,01,6,0181218,0181218,VNW0007917,LG28,B610,15,,3600999484,0,PASPS330,1201-060883001NPS900,60.000,GL,,,205000.00000,VND,,,12300000.00,,60.000,0.000,0190108,E,,0190110,,,,10,,NPS900,,C3,,0190107,,,,,,,VN,,,,,,,,,,,,,E,,,,,,180000.00000,VND
11,LW5381,W63838,LG,K0,6,6,LG3,0201275452,0190107,LUBLOB73,M610,,,0,0190111,,,LG,LW5381,K0,01,6,0190105,0190111,PR09,LG3,M610,30,,0201275452,6,LUBLOB73,1121-02012001SL10W40,48.000,CA,,,51900.00000,VND,,,2491200.00,,48.000,0.000,0190107,E,,0190111,,HDKK,,10,,Idemitsu,,,,0190209,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,,VND
12,KW9HP1,W63715,LG,K0,6,6,LG3,0201275452,0190104,LUBLOT57,M610,,,0,0190111,,,LG,KW9HP1,K0,01,6,0181020,0181020,PR09,LG3,M610,85,,0201275452,6,LUBLOT57,1121-22052200AW68,8.000,TK,,,7237000.00000,VND,,,57896000.00,,8.000,0.000,0190104,E,,0190108,,HDK,,10,,Formosa-Idemitsu,,,,0190116,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,16000000.00000,VND
13,KW97W7,W63707,LG,00,6,0,LG3,0201275452,0190104,LUBLOR38,M610,,,0,0190111,,,LG,KW97W7,00,02,6,0181210,0181210,VNW0006524,LG3,M610,85,,0201275452,0,LUBLOR38,1121-01222200SH46A,1200.000,LT,,,42500.00000,VND,,,51000000.00,,1200.000,0.000,0190104,E,,0190108,,,,10,,Idemitsu,,C3,,0190308,,,,,,,VN,,,,,,,,,,,,,E,,,,,,,VND
14,KW97W7,W63707,LG,00,6,0,LG3,0201275452,0190104,LUBLOR38,M610,,,0,0190111,,,LG,KW97W7,00,01,6,0181210,0181210,VNW0006524,LG3,M610,85,,0201275452,0,LUBLOQ01,1121-40222020SUPERSCREW46,30.000,CA,,,1250000.00000,VND,,,37500000.00,,30.000,0.000,0181213,E,,0181215,,,,10,,Idemitsu,,C3,,0190308,,,,,,,TH,,,,,,,,,,,,,E,,,,,,1250000.00000,VND
15,KWWM98,W63708,LG,00,6,0,LG30,0201275452,0190104,LUBCQ105,M610,,,0,0190111,,,LG,KWWM98,00,01,6,0181208,0181208,VNW0000361,LG30,M610,90,,0201275452,0,LUBCQ105,1124-1222200ST25A,200.000,LT,,,67500.00000,VND,,,13500000.00,,200.000,0.000,0190104,E,,0190108,,,,10,,Idemitsu,,C3,,0190312,,,,,,,JP,,,,,,,,,,,,,E,,,,,,,
16,KW8YA9,W63706,LG,00,6,0,LG30,0201275452,0190104,LUBLOR39,M610,,,0,0190111,,,LG,KW8YA9,00,01,6,0181210,0190116,VNW0000361,LG30,M610,30,,0201275452,0,LUBLOR39,1121-01222200SH68A,1400.000,LT,,,42500.00000,VND,,,59500000.00,,1400.000,0.000,0190104,E,,0190116,,,,10,,Idemitsu,,C3,,0190114,,,,,,,VN,,,,,,,,,,,,,E,,,,,,,VND
17,KW96U8,W63509,LG,00,4,0,LG30,3001925701,0190103,CHEIN7,B4MD,,,0,0190111,,,LG,KW96U8,00,01,4,0181116,0190216,VNW0000361,LG30,B4MD,3,,3001925701,0,CHEIN7,1001-A0103086,128690.000,KG,,,3100.00000,VND,,,398939000.00,,128690.000,0.000,0190109,E,,0190216,,,,10,,Nh?m Sunfat,,C3,,M,,,,,,,VN,,,,,,,,,,,,,D,52,,,,,3200.00000,VND
18,KWN108,W63762,LG,00,2,0,LG20,0201275452,0190105,LUBLOP98,MW22,,,0,0190111,,,LG,KWN108,00,01,2,0190104,0190104,VNW0006629,LG20,MW22,85,,0201275452,0,LUBLOP98,1121-22222200FIREGISTG,5.000,TK,,,15990000.00000,VND,,,79950000.00,,5.000,0.000,0190105,E,,0190108,,,,10,,Idemitsu,,C3,,0190402,,,,,,,JP,,,,,,,,,,,,,E,,,,,,12995161.00000,VND
19,KW12S5,W63635,LG,00,6,0,LG26,3002083695,0190104,CHEIN80,BW61,,,0,0190111,,,LG,KW12S5,00,01,6,0181225,0181225,VNW0000049,LG26,BW61,30,,3002083695,0,CHEIN80,1001-C0183021553,500.000,KG,,,19700.00000,VND,,,9850000.00,,500.000,0.000,0190104,E,,0190106,,,,10,,v?i,,C3,,0190128,,,,,,,VN,,,,,,,,,,,,,E,52,,,,,,
20,JW1AB5,W64114,LG,K0,4,6,LG3,0101165079,0190109,CHEIP456,B420,,*,1,0190111,29,,LG,JW1AB5,K0,01,4,0171030,0171030,PR09,LG3,B420,30,,0101165079,6,CHEIP456,1001-O0013008261,700.000,PC,,,54000.00000,VND,,,37800000.00,,700.000,0.000,0190502,E,,0190504,,HDA,,10,,µL,,,,M,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,,
21,JWWPC9,W63710,LG,K0,6,6,LG3,3001494653,0190104,CHEIN93,M610,,,0,0190111,,,LG,JWWPC9,K0,01,6,0171025,0171025,PR09,LG3,M610,10,,3001494653,6,CHEIN93,1001-C030301855D,1000.000,PC,,,169000.00000,VND,,,169000000.00,,1000.000,0.000,0190130,E,,0190201,,HSY,,10,,CO2,,,,M,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,,
22,KWN3V3,W63709,LG,K0,6,6,LG3,0201275452,0190104,LUBCQ104,M610,,,0,0190112,,,LG,KWN3V3,K0,01,6,0181206,0190712,VNW0006524,LG10,M610,85,0201275452,0201275452,6,LUBCQ104,1124-7222200XL,600.000,LT,,,67000.00000,VND,,,40200000.00,,600.000,0.000,0190104,E,,0190712,,HDKK,,10,,IDEMITSU,,,,0190304,,,,,,,SG,,,,,,,,Y,,,,,E,,,,,,67000.00000,VND
23,KW1213,W64197,LG,K0,A,6,LG32,0101394777-009,0190110,PASAL46,BWA3,,*,1,0190112,8,,LG,KW1213,K0,01,A,0181115,0181115,PR09,LG32,BWA3,45,,0101394777-009,6,PASAL46,1205-10181500,150.000,CA,,,30000.00000,VND,,,4500000.00,,150.000,0.000,0190110,E,,0190112,,HN10,,10,,x?t ATM th?ng d?ng,,,,0190102,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,,
24,KW92E4,W53412,LG,P0, ,1, ,CINYETA,0190102,WACWDM58,B4MD,, ,0,0190112,,,LG,KW92E4,P0,02,4,0181011,0190222,N000000420,1R,B4MD,120,16125060,CINYETA,1,WACWDM58,1410-27652001VCL750,3000.000,KG,,,5.67000,USD,5.727,1.000000,17010.00,17181.00,3000.000,0.000,0190211,,,0190217,,ZK,,,,Cinyea CYW-VCL750,1.0100,C2,,0190325,,,,,,,,,,,,,,,,,,,,,51,,,,,98000.00000,VND
25,KW92E4,W53412,LG,P0, ,1, ,CINYETA,0190102,WACWDM58,B4MD,, ,0,0190112,,,LG,KW92E4,P0,01,4,0181011,0181011,N000000420,1R,B4MD,120,16125060,CINYETA,1,WACWDL61,1410-06652000VMA6088,29475.000,KG,,,5.65600,USD,5.713,1.000000,166710.60,168377.71,29475.000,0.000,0190322,E,,0190329,,ZK,,,,Cinyea CYC-VMA6088,1.0100,C2,,0190325,,,,,,,,,,,,,,,,,,,,,51,,,,,115500.00000,VND
26,KW0NW2,W63701,LG,00,4,0,LG24,2901113066,0190104,LUBLOY46,BW40,,,0,0190114,,,LG,KW0NW2,00,01,4,0181229,0181229,VNW0007257,LG24,BW40,5,,2901113066,0,LUBLOY46,1121-15722209SAE50,1.000,TK,,,11900000.00000,VND,,,11900000.00,,1.000,0.000,0190104,E,,0190106,,,,10,,BP Vanellus Monograde50,,C3,,0190109,,,,,,,VN,,,,,,,,,,,,,D,,,,,LUBLOY46,,
27,KW0WX2,W63687,LG,00,2,0,LG28,2901113066,0190104,LUBLGR99,BW21,,,0,0190114,,,LG,KW0WX2,00,01,2,0181219,0181230,VNW0007917,LG28,BW21,5,,2901113066,0,LUBLGR99,1122-3755020EPL2,1140.000,KG,,,85000.00000,VND,,,96900000.00,,1140.000,0.000,0190104,E,,0190106,,,,10,,Castrol SpheerolEPL2 20KG/CA,,C3,,0190105,,,,,,,IN,,,,,,,,,,,,,D,,,,,LUBLGR99,,
28,KW7UG2,W64354,LG,00,2,0,LG18,3301562992,0190111,LUBLGP71,MW23,,*,1,0190114,4,,LG,KW7UG2,00,01,2,0181120,0181120,VNW0008824,LG18,MW23,45,,3301562992,0,LUBLGP71,1122-DDR5180CTPLEXOGL,4320.000,KG,,,300000.00000,VND,,,1296000000.00,,4320.000,0.000,0190111,E,,0190113,,,,10,,CHEMTOOL CTPLEX 0GL180,,C3,,0190107,,,,,,,US,,,,,,,,,,,,,E,5 C3K Y,,,,,16000000.00000,VND
29,KW1303,W63702,LG,K0,5,6,LG32,0105875143,0190104,PASFP222,B521,,,0,0190114,,,LG,KW1303,K0,01,5,0181123,0181123,PR09,LG32,B521,45,,0105875143,6,PASFP222,1203-0801813001,10.000,GL,,,365000.00000,VND,,,3650000.00,,10.000,0.000,0190104,E,,0190108,,HV28,,10,,??i B?ng Alkyd,,,,0190115,,,,,A,,,,,,,,,,Y,,,,,E,,,,,,,
