   ,PURNO,RCVNO,CO,LNO,DIV,PURID,PURPRW,VNDNO,RCVDAT,MTNO,DLSTK,QLMK,OVDMK,ANS,GFDAT,OVDDYS,MTPAYDAT,CO,PURNO,ORDLNO,IT,DIV,ORDDAT,KINDAT,KINEMP,PURPRW,DLSTK,MKDYS,INQVND,ORDVND,PURID,MTNO,SPECID,ORDCAQQTY,CAQUN,ORDCPRQTY,CPRUN,CPRUP,CUCY,CIFUP,EXR,OCRYTAMT,CIFTAMT,ACRCVQTY,ACCPRRCVQTY,RCVDAT,ENDMK,DLABMK,RCVWRFDAT,DLHNTPRTMK,CNTRNO,CSTIDX,MLDTAXR,ISPMK,BRND,CIFCIFR,FRMID,RASHMK,SCDDAT,PAYENDMK,NCRDAT,AGRSUPPIVDDOC,PAYID,IVID,PAYTRM,ORGI,DRSUPPMK,DRSUPPDATNUM,ANNOUPSUPPMK,SIGNMK,OVSHPR,OVDPUNR,OVDPUNRUPL,CNTRPEMK,JBSAFMK,DLSITE,HLISID,BIDCLASSDATE,WWWMK,APKID,EMGPURMK,PLADDR,COTYPE,PURSTDNO,BGUP,BGCUCY
1,MW0DF3,W13255,LG,K0,4,6,LG24,2900440536-005,0210102,CHEINF78,BW40,,*,1,0210105,43,,LG,MW0DF3,K0,01,4,0201019,0210109,PR09,LG24,BW40,5,,2900440536-005,6,CHEINF78,1001-O0013078A,360.000,PC,,,40000.00000,VND,,,14400000.00,,360.000,,0210128,E,,0210131,,HDA1,,10,,NGHE AN INDUSTRIAL GAS,,,,0210215,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
2,MWW3R5,W13314,LG,00,6,0,525,3002130899,0210104,WACMGH31,M620,,*,1,0210106,13,,LG,MWW3R5,00,01,6,0201005,0210105,N000000028,525,M620,75,,3002130899,0,WACMGH31,1408-158B020478614,7.000,PC,,,90607000.00000,VND,,,634249000.00,,7.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGH31,,
3,MWW3R6,W13315,LG,00,6,0,504,3002130899,0210104,WACMGH32,M620,,*,1,0210106,7,,LG,MWW3R6,00,01,6,0201005,0210105,N000016150,504,M620,80,,3002130899,0,WACMGH32,1408-158B020479901,4.000,PC,,,91807000.00000,VND,,,367228000.00,,4.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGH32,,
4,MWW3R7,W13316,LG,00,6,0,504,3002130899,0210104,WACMGG94,M620,,*,1,0210106,7,,LG,MWW3R7,00,01,6,0201005,0210105,N000016150,504,M620,80,,3002130899,0,WACMGG94,1408-488A42040A000B,2.000,PC,,,105807000.00000,VND,,,211614000.00,,2.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGG94,,
5,MWW3R8,W13317,LG,00,6,0,532,3002130899,0210104,WACMGG95,M620,,*,1,0210106,13,,LG,MWW3R8,00,01,6,0201005,0210105,N000016150,532,M620,75,,3002130899,0,WACMGG95,1408-488A42040A000C,2.000,PC,,,105368000.00000,VND,,,210736000.00,,2.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGG95,,
6,MWW3R4,W13313,LG,00,6,0,532,3002130899,0210104,WACMGH29,M620,,*,1,0210106,13,,LG,MWW3R4,00,01,6,0201005,0210105,N000016150,532,M620,75,,3002130899,0,WACMGH29,1408-488B02047A000B,6.000,PC,,,100000000.00000,VND,,,600000000.00,,6.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGH29,,
7,MWW3R9,W13318,LG,00,6,0,525,3002130899,0210104,WACMGJ26,M620,,*,1,0210106,13,,LG,MWW3R9,00,01,6,0201005,0210105,N000000028,525,M620,75,,3002130899,0,WACMGJ26,1408-298A42040A00002,2.000,CA,,,85300000.00000,VND,,,170600000.00,,2.000,0.000,0210104,E,,0210106,,,,10,,Dalian Special Gas,,C3,,0210109,,,,,,,CN,,,,,,,,,,,,,E,ZY,,"Long S?n,K? Long,K? Anh,T?nh H? T?nh","1,2,3,4",WACMGJ26,,
8,MWSCJ7,W13411,LG,K0,2,6,LG24,2900440536-005,0210105,FUEIG79,M2M3,,*,1,0210107,7,,LG,MWSCJ7,K0,01,2,0201105,0201105,PR09,LG24,M2M3,5,,2900440536-005,6,FUEIG79,1115-3009980505A,60.000,PC,,,445000.00000,VND,,,26700000.00,,60.000,0.000,0210105,E,,0210107,,HDA,,10,,NGHE AN INDUSTRIAL GAS,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,540000.00000,VND
9,MW0944,W13345,LG,00,6,0,LG14,0106842976,0210105,CHEOS977,BW61,,*,1,0210107,16,,LG,MW0944,00,01,6,0200821,0201203,VNW0005359,LG14,BW61,65,,0106842976,0,CHEOS977,1002-M1951A114J0,2.000,CA,,,1250000.00000,VND,,,2500000.00,,2.000,0.000,0210105,E,,0210107,,,,10,,FISHER M/2405/53,,C3,,0201220,,,,,,,GB,,,,,,,,,,,,,E,,*,,,,,
10,MWQRC7,W13399,LG,00,5,0,LG16,0105295865,0210105,CHEOSA77,B523,,*,1,0210107,1,,LG,MWQRC7,00,01,5,0201102,0201102,VNW0007819,LG16,B523,60,,0105295865,0,CHEOSA77,1002-D0381E061K0,9.000,CA,,,370000.00000,VND,,,3330000.00,,9.000,0.000,0210105,E,,0210107,,,,10,,FISHER D/3841/15,,C3,,0210104,,,,,,,GB,,,,,,,,,,,,,E,,,,,5240H025,320000.00000,VND
11,MWM0N4,W13344,LG,00,5,0,1B,0201166485,0210105,CHEIN848,B523,,*,1,0210107,3,,LG,MWM0N4,00,01,5,0200818,0200818,N000000799,1B,B523,3,,0201166485,0,CHEIN848,1001-S0323326,1686000.000,KG,,,3130.00000,VND,,,5277180000.00,,1686530.000,,0210316,E,,0210318,,,,10,,LG-MWM0N4,,C3,,M,,,,,,,KR,,,,,,,,,,,,,E,52,,,,5240L005,5398.00000,VND
12,LW0CS0,W13477,LG,K0,5,6,LG3,2802022805,0210107,CHEINA58,B512,,*,1,0210109,45,,LG,LW0CS0,K0,01,5,0190531,0190531,PR09,LG3,B512,10,,2802022805,6,CHEINA58,1001-S0333016,200000.000,KG,,,3116.00000,VND,,,623200000.00,,199900.000,,0210202,E,,0210205,,HQT4,,10,,Viet Nam,,,,M,,,,,A,,,,,,,,,,Y,,,,,E,52,,,,CPGAS5120-80000,,
13,MWMDA1,W13251,LG,K0,4,6,LG24,2802022805,0210102,CHEIN7,B4MD,,,0,0210111,,,LG,MWMDA1,K0,01,4,0200713,0200713,PR09,LG24,B4MD,3,,2802022805,6,CHEIN7,1001-A0103086,360000.000,KG,,,2850.00000,VND,,,1026000000.00,,360430.000,,0210130,E,,0210202,,HMV,,10,,??C GIANG,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,52,,,,,3200.00000,VND
14,MW0FS0,W13273,LG,K0,5,6,LG24,3001947624,0210102,FPFFP536,BW53,,,0,0210111,,,LG,MW0FS0,K0,01,5,0201201,0201201,PR09,LG24,BW53,35,,3001947624,6,FPFFP536,1501-543000,50.000,CA,,,26300.00000,VND,,,1315000.00,,50.000,0.000,0210102,E,,0210105,,LG2S,,10,,SK BOND S1,,,,0210108,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
15,MWSSV6,W13442,LG,K0,6,6,LG24,0201275452,0210106,LUBLOT57,MW60,,,0,0210112,,,LG,MWSSV6,K0,01,6,0201119,0201119,PR09,LG24,MW60,90,,0201275452,6,LUBLOT57,1121-22052200AW68,32.000,TK,,,8350000.00000,VND,,,267200000.00,,32.000,0.000,0210106,E,,0210108,,HT21,,10,,Formosa,,,,0210222,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,8350000.00000,VND
16,MWPH07,W13626,LG,K0,3,6,LG3,2802022805,0210109,CHEINA58,B331,,*,1,0210112,18,,LG,MWPH07,K0,01,3,0200908,0200908,N000126437,LG3,B331,5,2802022805,2802022805,6,CHEINA58,1001-S0333016,70811.000,KG,,,2980.00000,VND,,,211016780.00,,69600.000,,0210202,E,,0210204,,LG2C,,10,,Viet Nam,,,,M,,,,,,,VN,,,,,,,,Y,,,,,E,52,,,,331NACLOR3,3116.00000,VND
17,MW0HG8,W13443,LG,K0,6,6,LG24,0201275452,0210106,LUBLOT56,BW60,,,0,0210112,,,LG,MW0HG8,K0,01,6,0201231,0201231,PR09,LG24,BW60,90,,0201275452,6,LUBLOT56,1121-22052200AW46,20.000,TK,,,8250000.00000,VND,,,165000000.00,,20.000,0.000,0210106,E,,0210108,,HT21,,10,,Formosa,,,,0210403,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
18,MWPEN7,W13400,LG,00,5,0,LG28,0105295865,0210105,CHEOSB37,B523,,,0,0210112,,,LG,MWPEN7,00,01,5,0201007,0201007,VNW0007917,LG28,B523,90,,0105295865,0,CHEOSB37,1002-I0771E014A0,6.000,CA,,,725000.00000,VND,,,4350000.00,,6.000,0.000,0210105,E,,0210107,,,,10,,ACROS,,C3,,0210108,,,,,,,IN,,,,,,,,,,,,,E,,,,,5240H052,686000.00000,VND
19,MWQ1Q1,W13739,LG,K0,5,6,LG24,2900440536-005,0210111,FUEIG79,M5M4,,*,1,0210113,12,,LG,MWQ1Q1,K0,01,5,0200909,0201111,PR09,LG24,M5M4,5,,2900440536-005,6,FUEIG79,1115-3009980505A,60.000,PC,,,445000.00000,VND,,,26700000.00,,60.000,,0210119,E,,0210121,,HDA,,10,,NGHE AN INDUSTRIAL GAS,,,,0201230,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,545000.00000,VND
20,MWQ2P0,W13292,LG,00,5,0,1B,0200835768,0210104,CHEIN376,B531,,,0,0210113,,,LG,MWQ2P0,00,01,5,0201020,0201020,N000000799,1B,B531,3,,0200835768,0,CHEIN376,1001-S0323456,1307453.000,KG,,,3760.00000,VND,,,4916023280.00,,1301820.000,,0210126,,,0210128,,,,10,,CHEIN376,,C3,,M,,,,,,,KR,,,,,,,,,,,,,E,52,,,"2,3",2230BPCD12,8818.00000,VND
21,MWM1V7,W13562,LG,00,4,0,1B,0201166485,0210108,CHEIN848,B4MD,,,0,0210113,,,LG,MWM1V7,00,01,4,0200728,0200728,N000000799,1B,B4MD,3,,0201166485,0,CHEIN848,1001-S0323326,255168.000,KG,,,3400.00000,VND,,,867571200.00,,256650.000,0.000,0210108,E,,0210110,,,,10,,LG-MWM1V7,,C3,,M,,,,,,,KR,,,,,,,,,,,,,E,52,,,,,3900.00000,VND
22,MWQ2P0,W13291,LG,00,5,0,1B,0200835768,0210104,CHEIN376,B531,,,0,0210113,,,LG,MWQ2P0,00,01,5,0201020,0201020,N000000799,1B,B531,3,,0200835768,0,CHEIN376,1001-S0323456,1307453.000,KG,,,3760.00000,VND,,,4916023280.00,,1301820.000,,0210126,,,0210128,,,,10,,CHEIN376,,C3,,M,,,,,,,KR,,,,,,,,,,,,,E,52,,,"2,3",2230BPCD12,8818.00000,VND
23,MWQ2P0,W13253,LG,00,5,0,1B,0200835768,0210102,CHEIN376,B531,,,0,0210113,,,LG,MWQ2P0,00,01,5,0201020,0201020,N000000799,1B,B531,3,,0200835768,0,CHEIN376,1001-S0323456,1307453.000,KG,,,3760.00000,VND,,,4916023280.00,,1301820.000,,0210126,,,0210128,,,,10,,CHEIN376,,C3,,M,,,,,,,KR,,,,,,,,,,,,,E,52,,,"2,3",2230BPCD12,8818.00000,VND
24,MWTZM4,W13901,LG,K0,2,6,LG24,2900440536-005,0210112,FUEIG79,M2M3,,*,1,0210114,3,,LG,MWTZM4,K0,01,2,0201215,0201215,PR09,LG24,M2M3,5,,2900440536-005,6,FUEIG79,1115-3009980505A,60.000,PC,,,445000.00000,VND,,,26700000.00,,60.000,,0210208,E,,0210209,,HDA,,10,,NGHE AN INDUSTRIAL GAS,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,540000.00000,VND
25,MWRJ39,W13363,LG,K0,6,6,LG24,0201275452,0210105,LUBLGQ39,MW60,,,0,0210114,,,LG,MWRJ39,K0,01,6,0201012,0201012,PR09,LG24,MW60,90,,0201275452,6,LUBLGQ39,1122-H055180EP1,106.000,TK,,,11900000.00000,VND,,,1261400000.00,,106.000,0.000,0210108,E,,0210110,,HIDM,,10,,FORMOSA,,,,0210113,,,,,A,,TH,,,,,,,,Y,,,,,E,,,,,,20000000.00000,VND
26,MW0GF5,W13364,LG,K0,5,6,LG24,3001947624,0210105,FPFFP536,BW53,,,0,0210114,,,LG,MW0GF5,K0,01,5,0201212,0201212,PR09,LG24,BW53,35,,3001947624,6,FPFFP536,1501-543000,100.000,CA,,,26300.00000,VND,,,2630000.00,,100.000,0.000,0210105,E,,0210107,,LG2S,,10,,SK BOND S1,,,,0210119,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,SILICON,,
27,MWMDA1,W13352,LG,K0,4,6,LG24,2802022805,0210105,CHEIN7,B4MD,,,0,0210114,,,LG,MWMDA1,K0,01,4,0200713,0200713,PR09,LG24,B4MD,3,,2802022805,6,CHEIN7,1001-A0103086,360000.000,KG,,,2850.00000,VND,,,1026000000.00,,360430.000,,0210130,E,,0210202,,HMV,,10,,??C GIANG,,,,M,,,,,A,,VN,,,,,,,,Y,,,,,E,52,,,,,3200.00000,VND
28,MW0FS3,W13274,LG,K0,4,6,LG24,3001947624,0210102,PASAL16,B410,,,0,0210114,,,LG,MW0FS3,K0,01,4,0201128,0201128,PR09,LG24,B410,40,,3001947624,6,PASAL16,1205-10251400,50.000,CA,,,26900.00000,VND,,,1345000.00,,50.000,0.000,0210102,E,,0210105,,LG35,,10,,TOA KOBE,,,,0210111,,,,,A,,VN,,,,,,,,Y,,,,,E,,,,,,,
